day_1,day_2,day_3,day_4,day_5
246.02591328655876,245.28659352343448,243.72653037019012,244.39157821669022,244.3629893805167
247.6755600747054,247.4672169955196,246.17363607752873,246.43783884014115,246.52478289613987
247.0585972174262,246.76748011276055,245.45831379573212,245.74788964559468,245.8247795347466
247.16927227611842,246.75785087130342,245.476981704376,245.72691705687132,245.76422406565803
241.76239918200935,240.79905011090824,239.84211453234087,240.13044081347277,240.00739610466644
236.61699204291827,235.74073827244612,235.66411846299098,235.3624358405859,235.4175176944857
237.98268784102137,237.55422620786865,238.06689148836307,237.03332169609007,237.25733299875375
236.22630555669343,235.41183881872732,236.0668505036938,235.14481282301753,235.0265287190004
234.45923171743422,233.25605547662394,234.22658146553505,233.36884435907655,232.84893374058223
235.08090476462584,233.93157521323525,234.9703269346245,233.9577261300122,233.29630455357463
232.8700107601217,231.5820655051377,232.5604310073817,231.6759848194395,231.04891738043682
232.4228812183251,231.27644692128436,232.3996075505849,231.35328639555956,230.83040129933767
231.26021693203708,230.0513402090927,231.18472065412072,230.12982176792454,229.6676397843588
233.41848140628855,232.45910790832457,233.3898961711776,232.16692128805948,231.8725740302199
228.0760745352779,226.60991629208485,227.4352366328003,226.69913982072467,226.27373188867728
227.33255953419643,226.14226429439293,227.1398774763633,226.11196135241028,225.92007152835447
230.1037608777132,229.16995132331843,230.03541991123112,228.73563436233877,228.69418973259684
227.24190998475743,225.90687003277412,226.50537744410428,225.52626652189704,225.46721269592277
227.5902983893984,226.38613545742908,227.08198319255402,225.89480647298308,225.80169019564647
231.5340777446076,230.63962780469535,230.990731410555,229.7747894027419,229.7635828958554
231.22780016629403,230.12611987554686,229.98168485475276,229.08091865099766,229.20040911099392
236.53497063952685,235.77357636251622,235.16883551178358,234.32921175032482,234.56040717292376
239.36028155003487,238.58458025121826,237.17798358382947,236.86068675388586,237.13276864152002
238.04105386403444,237.10014661520736,235.16744910267326,235.15521269187622,235.71104391004695
236.03882703435227,235.2286095502827,233.3852652046429,233.23950859386574,234.15854658937604
235.75200959845986,235.2887833067331,233.60483999815358,233.2323640856193,234.46512665695002
236.8422709196257,236.57597954069126,235.04602487204784,234.39257964932287,235.69074472003433
237.03393387673617,236.69025566200764,235.15162963456515,234.54692479445876,235.68193291979293
238.21628157132807,237.88040325824358,236.24460255588698,235.87531358377515,236.77819001022803
235.8415572227359,235.20335529809918,233.5412020194587,233.42074647467916,234.21896161702225
234.69837828630742,234.21776966529364,232.7671644115745,232.41490126354987,233.43529476768094
